City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
226,Kajaani,FI,64.2273,27.7285,23.05,86,100,13.8,light snow
227,Guerrero Negro,MX,27.9769,-114.0611,66.13,31,13,1.83,few clouds
228,Fort Nelson,CA,58.8053,-122.7002,-0.06,83,100,5.75,light snow
229,Ponnani,IN,10.767,75.9252,76.32,78,5,5.48,clear sky
230,Usinsk,RU,65.9939,57.5281,5.7,98,87,11.07,overcast clouds
231,Waipawa,NZ,-41.4122,175.5153,57.69,97,100,2.82,light rain
232,Sioux Lookout,CA,50.1001,-91.917,15.87,86,100,12.66,light snow
233,Columbine,US,39.5878,-105.0694,39.69,25,20,5.75,few clouds
234,Roald,NO,62.5833,6.1333,35.74,64,20,16.11,few clouds
235,Eureka,US,40.8021,-124.1637,46.26,88,0,1.01,clear sky
236,Castilleja De La Cuesta,ES,37.3859,-6.0526,59.92,82,0,3.44,clear sky
237,Rocha,UY,-34.4833,-54.3333,73.4,39,12,16.55,few clouds
238,Flinders,AU,-34.5833,150.8552,59.18,82,100,8.99,light rain
239,Ferme-Neuve,CA,46.7001,-75.4493,30.76,95,100,1.32,snow
240,Muscat,OM,23.6139,58.5922,73.42,61,0,2.55,clear sky
241,Khatanga,RU,71.9667,102.5,-8.54,100,94,4.25,overcast clouds
242,Zlitan,LY,32.4674,14.5687,66.38,76,0,8.61,clear sky
243,Victoria,HK,22.2855,114.1577,54.32,37,100,3.0,overcast clouds
244,Ballina,AU,-28.8667,153.5667,62.02,84,99,12.93,overcast clouds
245,Lasa,IT,46.6166,10.7002,29.28,44,81,2.73,broken clouds
246,Guilin,CN,25.2819,110.2864,41.11,28,12,10.54,few clouds
247,Deep River,CA,46.1001,-77.4995,35.94,77,100,4.18,overcast clouds
248,Amahai,ID,-3.3333,128.9167,77.45,88,100,4.61,light rain
249,Dakar,SN,14.6937,-17.4441,88.68,74,0,6.91,clear sky
250,Aswan,EG,24.0934,32.907,74.5,38,0,5.75,clear sky
251,Margate,GB,51.3813,1.3862,35.69,85,100,5.01,overcast clouds
252,Mahebourg,MU,-20.4081,57.7,78.26,73,40,11.5,scattered clouds
253,Beya,RU,53.0533,90.9139,-3.05,90,4,4.07,clear sky
254,Mayumba,GA,-3.432,10.6554,78.08,87,100,4.43,overcast clouds
255,Namibe,AO,-15.1961,12.1522,72.27,74,100,11.43,overcast clouds
256,Jitra,MY,6.2681,100.4217,76.89,94,40,2.3,scattered clouds
257,Tura,IN,25.5198,90.2201,60.57,89,0,2.8,clear sky
258,Vostok,RU,46.4856,135.8833,-22.54,99,100,3.33,overcast clouds
259,Lower Hutt,NZ,-41.2167,174.9167,62.31,96,75,1.14,broken clouds
260,Ahipara,NZ,-35.1667,173.1667,64.36,95,100,4.25,overcast clouds
261,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,88,40,36.1,light intensity shower rain
262,Sobolevo,RU,54.4299,31.8996,24.33,96,100,13.22,snow
263,Merauke,ID,-8.4667,140.3333,78.1,88,77,5.75,broken clouds
264,Asau,RO,46.4333,26.4,34.72,87,71,1.79,broken clouds
265,Port Blair,IN,11.6667,92.75,82.44,74,75,5.75,mist
266,Poum,NC,-20.2333,164.0167,79.5,76,7,5.82,clear sky
267,Price,US,39.5994,-110.8107,24.12,53,0,4.61,clear sky
268,Coihaique,CL,-45.5752,-72.0662,63.21,39,40,10.36,scattered clouds
269,Pevek,RU,69.7008,170.3133,-2.52,97,11,0.58,few clouds
270,Heihe,CN,50.2441,127.4902,-12.42,98,73,5.35,broken clouds
271,Bathsheba,BB,13.2167,-59.5167,84.81,79,40,21.85,scattered clouds
272,Koumac,NC,-20.5667,164.2833,77.86,80,1,5.61,clear sky
273,Rawson,AR,-43.3002,-65.1023,73.69,31,40,14.97,light rain
274,Bonavista,CA,48.6499,-53.1147,35.13,80,100,12.77,overcast clouds
275,Awbari,LY,26.5921,12.7805,66.87,29,0,6.96,clear sky
276,Petropavlovka,RU,50.6114,105.3196,-2.0,91,34,5.5,scattered clouds
277,Sangar,RU,63.9242,127.4739,-53.5,100,57,2.73,broken clouds
278,Bundibugyo,UG,0.7414,30.0417,67.69,92,40,3.18,scattered clouds
279,Nikolayevsk-Na-Amure,RU,53.1406,140.73,-0.89,98,100,6.71,snow
280,Maniitsoq,GL,65.4167,-52.9,23.79,55,100,8.72,overcast clouds
281,El Retorno,CO,2.3302,-72.6276,87.04,50,87,7.76,overcast clouds
282,Camana,PE,-16.6228,-72.7111,72.19,75,100,6.76,overcast clouds
283,Mastic Beach,US,40.7668,-72.8521,46.98,57,0,18.41,clear sky
284,Coquimbo,CL,-29.9533,-71.3436,67.73,68,100,6.91,overcast clouds
285,Do Gonbadan,IR,30.3586,50.7981,53.69,82,0,0.0,clear sky
286,Panzhihua,CN,26.5851,101.7128,44.42,90,100,3.0,overcast clouds
287,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,16.39,79,75,6.71,broken clouds
288,Dikson,RU,73.5069,80.5464,7.27,91,100,19.04,overcast clouds
289,Chimore,BO,-16.9833,-65.1333,86.29,57,71,2.53,broken clouds
290,Ancud,CL,-41.8697,-73.8203,60.82,69,0,11.5,clear sky
291,Ardahan,TR,41.1087,42.7022,27.01,86,6,2.08,clear sky
292,Ashti,IN,19.3833,76.2333,72.01,60,24,6.04,few clouds
293,Takaungu,KE,-3.6837,39.8566,82.89,84,52,11.39,broken clouds
294,Kavieng,PG,-2.5744,150.7967,81.61,72,100,5.3,overcast clouds
295,Lebu,CL,-37.6167,-73.65,63.77,73,1,15.14,clear sky
296,Yulara,AU,-25.2406,130.9889,69.67,41,62,14.54,broken clouds
297,Nanortalik,GL,60.1432,-45.2371,24.06,71,3,8.48,clear sky
298,Pacific Grove,US,36.6177,-121.9166,59.65,65,0,1.01,clear sky
299,Yerofey Pavlovich,RU,53.9667,121.9667,-27.49,96,15,3.56,few clouds
300,River Falls,US,44.8614,-92.6238,22.06,85,100,13.0,overcast clouds
301,Atar,MR,20.5169,-13.0499,86.05,25,0,11.5,clear sky
302,Buala,SB,-8.145,159.5921,79.09,81,100,2.8,overcast clouds
303,Narsaq,GL,60.9167,-46.05,12.42,68,10,5.95,clear sky
304,Bukama,CD,-9.2,25.85,69.94,94,100,1.39,light rain
305,Oussouye,SN,12.485,-16.5469,89.69,41,5,7.67,clear sky
306,San Andres,CO,12.5847,-81.7006,86.02,70,100,17.27,overcast clouds
307,Port Lavaca,US,28.615,-96.6261,50.32,68,100,11.5,overcast clouds
308,Jumla,NP,29.2747,82.1838,39.04,31,0,4.72,clear sky
309,Vredendal,ZA,-31.6683,18.5012,69.33,77,0,7.0,clear sky
310,Greytown,ZA,-29.0642,30.5928,63.34,96,92,3.33,light rain
311,San Carlos De Bariloche,AR,-41.1456,-71.3082,73.24,23,20,25.32,few clouds
312,Loncoche,CL,-39.3667,-72.6333,78.6,28,0,7.63,clear sky
313,Porto Novo,BJ,6.4965,2.6036,82.22,78,100,7.76,overcast clouds
314,Ambilobe,MG,-13.2,49.05,74.44,88,95,4.81,overcast clouds
315,Nikolskoye,RU,59.7035,30.7861,-4.43,100,65,0.22,broken clouds
316,Xining,CN,36.6167,101.7667,9.97,58,0,2.35,clear sky
317,Santa Cruz,BO,-17.8,-63.1667,93.25,49,75,16.11,broken clouds
318,Miyako,JP,39.6367,141.9525,36.14,66,95,11.1,overcast clouds
319,Praya,CV,14.9215,-23.5087,77.54,65,20,20.71,few clouds
320,Avarua,CK,-21.2078,-159.775,78.85,89,75,13.8,broken clouds
321,Walvis Bay,NA,-22.9575,14.5053,68.95,88,20,14.97,few clouds
322,Sinop,TR,41.7711,34.8709,52.21,71,85,9.64,overcast clouds
323,Tessalit,ML,20.1986,1.0114,75.63,12,0,8.81,clear sky
324,Sur,OM,22.5667,59.5289,73.45,62,0,5.26,clear sky
325,Jalu,LY,29.0331,21.5482,65.07,46,0,8.48,clear sky
326,Hambantota,LK,6.1241,81.1185,77.34,94,75,4.61,broken clouds
327,Bridlington,GB,54.0831,-0.1919,38.01,90,100,5.99,overcast clouds
328,Ngunguru,NZ,-35.6167,174.5,64.53,91,100,2.28,overcast clouds
329,Bahia Honda,CU,22.9036,-83.1592,84.07,56,11,1.32,few clouds
330,Marica,BR,-22.9194,-42.8186,78.75,82,50,9.95,scattered clouds
331,Port Hedland,AU,-20.3167,118.5667,78.85,83,20,10.36,few clouds
332,Vestmannaeyjar,IS,63.4427,-20.2734,34.79,75,75,44.87,broken clouds
333,San Lawrenz,MT,36.0553,14.204,60.85,86,100,1.01,overcast clouds
334,Norden,DE,53.6,7.2,27.0,97,24,1.99,few clouds
335,Te Anau,NZ,-45.4167,167.7167,52.74,97,100,3.65,overcast clouds
336,Manaus,BR,-3.1019,-60.025,81.1,83,75,8.05,moderate rain
337,Araouane,ML,18.9048,-3.5265,76.21,12,0,8.81,clear sky
338,Tomatlan,MX,19.9333,-105.25,79.86,51,100,5.91,overcast clouds
339,Emborion,GR,40.4833,21.55,44.96,86,84,3.06,broken clouds
340,Camacha,PT,33.0833,-16.3333,63.82,77,40,14.97,scattered clouds
341,Broken Hill,AU,-31.95,141.4333,66.58,35,100,12.93,overcast clouds
342,Rio Grande,BR,-32.035,-52.0986,78.91,65,43,19.19,scattered clouds
343,Juneau,US,58.3019,-134.4197,19.4,100,20,9.64,few clouds
344,Saint George,US,37.1041,-113.5841,39.63,44,0,3.44,clear sky
345,Dudinka,RU,69.4058,86.1778,1.6,89,100,11.86,overcast clouds
